id,slug,name,kind,expectedCategory,actualCategoryIds,status
burgersRestaurants_97ab28e57798,f-smashing-cholargos-97ab,F* Smashing Cholargos,restaurant,burgers,burgers,OK
burgersRestaurants_9c281ee4457d,butcher-s-burger-halandri-steak-house-9c28,Butcher's Burger Halandri & Steak House,restaurant,burgers,burgers,OK
burgersRestaurants_9c2f22b0606b,hashtag-burger-9c2f,Hashtag#Burger,restaurant,burgers,burgers|cheap-eats,OK
burgersRestaurants_9cd59af7183c,mpiftekadiko-kyr-giorgis-9cd5,Μπιφτεκάδικο Κυρ Γιώργης,restaurant,burgers,burgers,OK
burgersRestaurants_a09dc77f6aff,panburger-a09d,PANBURGER,restaurant,burgers,burgers,OK
burgersRestaurants_a0d6a061aa9e,mvp-restaurant-a0d6,MVP RESTAURANT,restaurant,burgers,burgers|mexican,OK
burgersRestaurants_a48e075150a2,greasy-spoon-athens-a48e,Greasy Spoon Athens,restaurant,burgers,burgers,OK
burgersRestaurants_a6200663c2fc,enkelt-eatery-drinkery-a620,Enkelt Eatery Drinkery,restaurant,burgers,burgers,OK
burgersRestaurants_aaf9b8df7638,the-burger-joint-aaf9,the burger joint,restaurant,burgers,burgers,OK
burgersRestaurants_ad6cf86d44bd,sam-burgers-ad6c,Sam burgers,restaurant,burgers,burgers,OK
burgersRestaurants_af2bce83bf0a,mpar-mpee-kioy-af2b,Μπαρ Μπεε Κιου,restaurant,burgers,burgers,OK
burgersRestaurants_af84766a95a5,brothers-in-law-af84,Brothers In Law,restaurant,burgers,burgers,OK
burgersRestaurants_b47d84823c91,the-burger-joint-b47d,The Burger Joint,restaurant,burgers,burgers,OK
burgersRestaurants_b5205e897d93,tarantino-sandwiches-fries-b520,Tarantino Sandwiches & Fries,restaurant,burgers,burgers,OK
burgersRestaurants_b5cd5e9d8f33,comet-street-gourmet-athens-b5cd,Comet Street Gourmet Athens,restaurant,burgers,burgers,OK
burgersRestaurants_b7d172dd6af6,serial-grillers-b7d1,Serial Grillers,restaurant,burgers,burgers,OK
burgersRestaurants_ba4a0b5f3045,ryotei118-ba4a,Ryōtei118,restaurant,burgers,burgers,OK
